product_code,product
260700,Lead ores and concentrates
282410,Lead: lead monoxide (litharge & massicot)
282490,Lead oxides: n.e.c. in heading no. 2824
381111,Anti-knock preparations: based on lead compounds
721020,Iron or non-alloy steel: flat-rolled width 600mm or more plated or coated with lead including terne-plate
780110,Lead: unwrought refined
780191,Lead: unwrought unrefined containing by weight antimony as the principal other element
780199,Lead: unwrought unrefined not containing by weight antimony as the principal other element
780200,Lead: waste and scrap
780411,Lead: sheets strip and foil of a thickness (excluding any backing) not exceeding 0.2mm
780419,Lead: plates sheets strip and foil of a thickness (excluding any backing) exceeding 0.2mm
780420,Lead: powders and flakes
780600,Lead: articles n.e.c. in chapter 78
850710,Electric accumulators: lead-acid of a kind used for starting piston engines including separators whether or not rectangular (including square)
850720,Electric accumulators: lead-acid (other than for starting piston engines) including separators whether or not rectangular (including square)
854911,Waste and scrap of lead-acid accumulators: spent lead-acid accumulators